status,line,reason,raw_row
adjusted,1,"Invalid date -> today used","Date | Vehicle No | Bilty | Distribution | City | Bags | Amount | Company Rate | NPL Rate | Market rate | Date | Paid | Fuel Ltr | Fuel | To pay | Bilty Comm | Reciving Pay | Date |  |  | Payment | Detail | Final Balance | Fixed Cost | Dedicated Balance | ss |  | Fixed Cost | sdd | Ledger | "
adjusted,10,"Invalid freight -> 0 used","01-Jan-2026 | Z-1510 | 254 | Mehboob Pf | Kot Sarang | 380 | Paid | 53,915 | 62,083 | 65,000 |  |  |  |  |  |  |  |  |  |  |  |  | 65,000 |  |  |  |  |  |  |  | "
adjusted,11,"Invalid freight -> 0 used","01-Jan-2026 | LEI-1785 | 255 | Rana Tariq Pf | Saqi F Chota Sahiwal | 200 | Paid | 20,064 | 20,054 | 21,000 |  |  |  |  |  |  |  |  |  |  |  |  | 21,000 |  |  |  |  |  |  |  | "
adjusted,12,"Invalid freight -> 0 used","01-Jan-2026 | TUE-797 | 256 | AL Noor Pf | Humayyoun F Kuthyala Sheikhan | 400 | Paid | 34,051 | 40,931 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,13,"Invalid freight -> 0 used","01-Jan-2026 | KS-8384 | 257 |  | Musa F Phalia | 200 | Paid | 27,707 | 27,707 | 30,000 |  |  |  |  |  |  |  |  |  |  |  |  | 30,000 |  |  |  |  |  |  |  | "
adjusted,14,"Invalid freight -> 0 used","01-Jan-2026 | LXK-8121 | 259 | SP Chaudary Mananwala | ALLAH Hoo F Chak 71 Choki Bhagat | 400 | Paid | 27,517 | 27,517 | 26,000 |  |  |  |  |  |  |  |  |  |  |  |  | 26,000 |  |  |  |  |  |  |  | "
adjusted,15,"Invalid freight -> 0 used","01-Jan-2026 | MNA-5297 | 260 | Nasyial Pf | Ahmad Nawaz Katora | 200 | To Pay | 39,117 | 38,217 | 39,500 |  |  |  |  |  |  |  |  |  |  |  |  | 39,500 |  |  |  |  |  |  |  | "
adjusted,16,"Invalid freight -> 0 used","01-Jan-2026 | TAC-867 | 262 | Waseem Pf | Masha ALLAH F Choki Bhagat | 400 | Paid | 27,517 | 24,077 | 26,000 |  |  |  |  |  |  |  |  |  |  |  |  | 26,000 |  |  |  |  |  |  |  | "
adjusted,17,"Invalid freight -> 0 used","01-Jan-2026 | CHI-891 | 263 | AR Foods | Ali Pur Noon Bhalwa | 200 | Paid | 13,376 | 15,765 | 21,000 |  |  |  |  |  |  |  |  |  |  |  |  | 21,000 |  |  |  |  |  |  |  | "
adjusted,18,"Invalid freight -> 0 used","01-Jan-2026 | FDO-6861 | 264 | SP Gondal Pf | Cattle F Phalia to 4KM | 200 | Paid | 27,707 | 27,707 | 45,000 |  |  |  |  |  |  |  |  |  |  |  |  | 45,000 |  |  |  |  |  |  |  | "
adjusted,19,"Invalid freight -> 0 used","01-Jan-2026 | FDO-6861 | 265 | SP Gondal Pf | Punjab F Phalia to 8KM | 200 | Paid | 18,917 | 27,707 | - |  |  |  |  |  |  |  |  |  |  |  |  | - |  |  |  |  |  |  |  | "
adjusted,20,"Invalid freight -> 0 used","02-Jan-2026 | C-3667 | 266 | Sohail Alpa | Alpa F Unit 4 Chak 87 LHR Rd | 400 | Paid | 24,077 | 24,077 | 24,000 |  |  |  |  |  |  |  |  |  |  |  |  | 24,000 |  |  |  |  |  |  |  | "
adjusted,21,"Invalid freight -> 0 used","02-Jan-2026 | TAH-516 | 269 | SP Mubashar Pf | Roshan F Chak 15 Ajnala | 400 | Paid | 36,976 | 36,976 | 30,000 |  |  |  |  |  |  |  |  |  |  |  |  | 30,000 |  |  |  |  |  |  |  | "
adjusted,22,"Invalid freight -> 0 used","02-Jan-2026 | LXP-2568 | 270 |  | Adhee Kot Adhi Sargal rd | 400 | Paid | 24,077 | 24,077 | 40,000 |  |  |  |  |  |  |  |  |  |  |  |  | 40,000 |  |  |  |  |  |  |  | "
adjusted,23,"Invalid freight -> 0 used","02-Jan-2026 | CAX-9509 | 271 | Ali Network Pf | Pakistan F Mangat | 200 | Paid | 20,064 | 20,064 | 35,000 |  |  |  |  |  |  |  |  |  |  |  |  | 35,000 |  |  |  |  |  |  |  | "
adjusted,24,"Invalid freight -> 0 used","02-Jan-2026 | CAX-9509 | 272 | Ali Network Pf | 5 Star F 92 Mor Jhang Rd | 200 | Paid | 20,064 | 20,064 | - |  |  |  |  |  |  |  |  |  |  |  |  | - |  |  |  |  |  |  |  | "
adjusted,25,"Invalid freight -> 0 used","02-Jan-2026 | SGE-5551 | 273 | AL Noor Pf | Aslam F Phalia to Mandi Rd Mangat | 200 | Paid | 18,917 | 27,707 | 30,000 |  |  |  |  |  |  |  |  |  |  |  |  | 30,000 |  |  |  |  |  |  |  | "
adjusted,26,"Invalid freight -> 0 used","02-Jan-2026 | TKH-253 | 274 | CH Imran Pf | Bismillah F Head M Wala Shahpur | 200 | Paid | 20,064 | 20,064 | 36,000 |  |  |  |  |  |  |  |  |  |  |  |  | 36,000 |  |  |  |  |  |  |  | "
adjusted,27,"Invalid freight -> 0 used","02-Jan-2026 | TKH-253 | 275 | CH Imran Pf | 92 Mor Pindi Wala | 200 | Paid | 20,064 | 20,064 | - |  |  |  |  |  |  |  |  |  |  |  |  | - |  |  |  |  |  |  |  | "
adjusted,28,"Invalid freight -> 0 used","02-Jan-2026 | TAB-782 | 277 | Sohail Alpa | Gulla Pur Kot Momin | 400 | Paid | 35,255 | 35,255 | 28,000 |  |  |  |  |  |  |  |  |  |  |  |  | 28,000 |  |  |  |  |  |  |  | "
adjusted,29,"Invalid freight -> 0 used","02-Jan-2026 | P-3495 | 278 | SP Mubashar Pf | Chak 21 Risala 35 Ajnala | 400 | Paid | 28,204 | 36,976 | 25,000 |  |  |  |  |  |  |  |  |  |  |  |  | 25,000 |  |  |  |  |  |  |  | "
adjusted,30,"Invalid freight -> 0 used","02-Jan-2026 | NAG-422 | 279 | Pakistan Pf | Pakistan F Mangat | 400 | Paid | 34,051 | 34,051 | 41,000 |  |  |  |  |  |  |  |  |  |  |  |  | 41,000 |  |  |  |  |  |  |  | "
adjusted,31,"Invalid freight -> 0 used","02-Jan-2026 | E-8007 | 280 | Junaid Pf | Abdul Rehman F Rakh Baloch Mandi | 200 | Paid | 18,917 | 18,917 | 28,000 |  |  |  |  |  |  |  |  |  |  |  |  | 28,000 |  |  |  |  |  |  |  | "
adjusted,32,"Invalid freight -> 0 used","03-Jan-2026 | TAB-126 | 282 | Abdul Wahid Pf | Chak 128 Silanwali | 400 | Paid | 30,956 | 30,957 | 27,500 |  |  |  |  |  |  |  |  |  |  |  |  | 27,500 |  |  |  |  |  |  |  | "
adjusted,33,"Invalid freight -> 0 used","03-Jan-2026 | JW-1945 | 283 | 5 Star Pf | Nathoo Wala Shahpur | 200 | Paid | 15,287 | 17,198 | 16,000 |  |  |  |  |  |  |  |  |  |  |  |  | 16,000 |  |  |  |  |  |  |  | "
adjusted,34,"Invalid freight -> 0 used","03-Jan-2026 | JW-1945 | 284 | Nasyial Pf | Wadi.e.Soon 4 Stop | 200 | To Pay | 39,117 | 38,217 | 39,000 |  |  |  |  |  |  |  |  |  |  |  |  | 39,000 |  |  |  |  |  |  |  | "
adjusted,35,"Invalid freight -> 0 used","03-Jan-2026 | TKJ-679 | 285 | AL Noor Pf | Fayyaz F Gojra | 400 | Paid | 34,051 | 30,957 | 37,000 |  |  |  |  |  |  |  |  |  |  |  |  | 37,000 |  |  |  |  |  |  |  | "
adjusted,36,"Invalid freight -> 0 used","03-Jan-2026 | LES-7550 | 289 | CH Imran Pf | Chak 57 Jhal Chakiyan | 400 | Paid | 27,517 | 27,517 | 28,000 |  |  |  |  |  |  |  |  |  |  |  |  | 28,000 |  |  |  |  |  |  |  | "
adjusted,37,"Invalid freight -> 0 used","03-Jan-2026 | TKR-217 | 290 | AL Noor Pf | Gondal F Kuthyala Sheikhan | 400 | Paid | 49,873 | 49,873 | 35,000 |  |  |  |  |  |  |  |  |  |  |  |  | 35,000 |  |  |  |  |  |  |  | "
adjusted,38,"Invalid freight -> 0 used","03-Jan-2026 | RIN-5278 | 291 | SP Rana Quaidabad Pf | Noor Pur 4KM Quaidabad | 400 | Paid | 42,995 | 42,995 | 35,000 |  |  |  |  |  |  |  |  |  |  |  |  | 35,000 |  |  |  |  |  |  |  | "
adjusted,39,"Invalid freight -> 0 used","03-Jan-2026 | LES-2233 | 292 | AL Noor Pf | Mian Gondal Dhoori to 9Km | 400 | Paid | 34,051 | 40,931 | 35,000 |  |  |  |  |  |  |  |  |  |  |  |  | 35,000 |  |  |  |  |  |  |  | "
adjusted,40,"Invalid freight -> 0 used","03-Jan-2026 | LRC-5655 | 293 | AL Noor Pf | Crystal F Gojra | 400 | Paid | 40,930 | 30,957 | 37,000 |  |  |  |  |  |  |  |  |  |  |  |  | 37,000 |  |  |  |  |  |  |  | "
adjusted,41,"Invalid freight -> 0 used","03-Jan-2026 | EA-3096 | 294 | Sohail Alpa | Unit 7 Bhalwal Ajnala | 400 | Paid | 36,976 | 36,976 | 29,000 |  |  |  |  |  |  |  |  |  |  |  |  | 29,000 |  |  |  |  |  |  |  | "
adjusted,42,"Invalid freight -> 0 used","03-Jan-2026 | GTH-333 | 295 | Pakistan Pf | Pakistan F Mangat | 400 | Paid | 34,051 | 34,051 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,43,"Invalid freight -> 0 used","03-Jan-2026 | P-3501 | 296 | Sadiq Pf | Bhera 4km Abdul Rehman F | 400 | Paid | 30,956 | 40,971 | 40,000 |  |  |  |  |  |  |  |  |  |  |  |  | 40,000 |  |  |  |  |  |  |  | "
adjusted,44,"Invalid freight -> 0 used","03-Jan-2026 | P-7145 | 297 | AL Noor Pf | Saqib F Phalia to 15km | 200 | Paid | 19,109 | 27,707 | 39,000 |  |  |  |  |  |  |  |  |  |  |  |  | 39,000 |  |  |  |  |  |  |  | "
adjusted,45,"Invalid freight -> 0 used","03-Jan-2026 | P-7145 | 298 | AL Noor Pf | Saqib F Phalia to 15km | 200 | Paid | 19,109 | 27,707 | - |  |  |  |  |  |  |  |  |  |  |  |  | - |  |  |  |  |  |  |  | "
adjusted,46,"Invalid freight -> 0 used","03-Jan-2026 | TKR-190 | 299 | AL Noor Pf | Badshah Pur Malakwal | 400 | Paid | 34,051 | 34,051 | 40,000 |  |  |  |  |  |  |  |  |  |  |  |  | 40,000 |  |  |  |  |  |  |  | "
adjusted,47,"Invalid freight -> 0 used","03-Jan-2026 | TTC-937 | 300 | SP Junaid Pf | Junaid F Wasu Rd Chak Basawa | 400 | Paid | 34,051 | 49,873 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,48,"Invalid freight -> 0 used","03-Jan-2026 | TAB-644 | 51 | AL Noor Pf | Isa F Phalia to 5km | 400 | Paid | 49,873 | 49,873 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,49,"Invalid freight -> 0 used","03-Jan-2026 | MNY-7695 | 52 | SP Ittefaq Pf | Dost M Gondal Sat Sira to 5km | 400 | Paid | 34,051 | 34,051 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,50,"Invalid freight -> 0 used","03-Jan-2026 | TKH-235 | 53 | SP Ittefaq Pf | Tarar F Phalia to 5km | 400 | Paid | 49,873 | 49,873 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,51,"Invalid freight -> 0 used","04-Jan-2026 | TKR-024 | 54 | AL Noor Pf | Haji Aslam Gojra | 200 | Paid | 18,917 | 18,917 | 44,000 |  |  |  |  |  |  |  |  |  |  |  |  | 44,000 |  |  |  |  |  |  |  | "
adjusted,52,"Invalid freight -> 0 used","04-Jan-2026 | TKR-024 | 55 | 3 Star Pf | Sat Sir Shah Taj Sugar Mills Malakwal rd | 200 | Paid | 18,917 | 18,917 | - |  |  |  |  |  |  |  |  |  |  |  |  | - |  |  |  |  |  |  |  | "
adjusted,53,"Invalid freight -> 0 used","04-Jan-2026 | C-8797 | 56 | SP Chaudary Mananwala | ALLAH Hoo F Chak 71 Choki Bhagat | 200 | Paid | 15,287 | 15,287 | 20,000 |  |  |  |  |  |  |  |  |  |  |  |  | 20,000 |  |  |  |  |  |  |  | "
adjusted,54,"Invalid freight -> 0 used","04-Jan-2026 | TAB-782 | 57 | Sohail Alpa | Kazim F Chak 18 Bhalwal | 200 | Paid | 28,377 | 36,976 | 30,000 |  |  |  |  |  |  |  |  |  |  |  |  | 30,000 |  |  |  |  |  |  |  | "
adjusted,55,"Invalid freight -> 0 used","05-Jan-2026 | TAL-697 | 58 | Awan Pf | Sultan Sher Yar Kalar Kahar | 300 | Paid | 54,459 | 49,013 | 50,000 |  |  |  |  |  |  |  |  |  |  |  |  | 50,000 |  |  |  |  |  |  |  | "
adjusted,56,"Invalid freight -> 0 used","05-Jan-2026 | NAG-422 | 59 | Awan Pf | Alwi F Sodhi Jallay Wali Wadi Soon | 300 | Paid | 20,064 | 51,593 | 55,000 |  |  |  |  |  |  |  |  |  |  |  |  | 55,000 |  |  |  |  |  |  |  | "
adjusted,57,"Invalid freight -> 0 used","05-Jan-2026 | LEI-5149 | 60 | Sohail Alpa | Alpa F Unit 4 Chak 87 LHR Rd | 400 | Paid | 24,077 | 24,077 | 24,500 |  |  |  |  |  |  |  |  |  |  |  |  | 24,500 |  |  |  |  |  |  |  | "
adjusted,58,"Invalid freight -> 0 used","05-Jan-2026 | FDE-2328 | 61 | R CO Layer | 75 Lokri Nr 33 Phatak | 400 | Paid | 34,396 | 24,077 | 24,000 |  |  |  |  |  |  |  |  |  |  |  |  | 24,000 |  |  |  |  |  |  |  | "
adjusted,59,"Invalid freight -> 0 used","05-Jan-2026 | TKS-903 | 62 | AL Noor Pf | Zahid F Kuthyala Sheikhan | 400 | Paid | 49,873 | 49,873 | 43,000 |  |  |  |  |  |  |  |  |  |  |  |  | 43,000 |  |  |  |  |  |  |  | "
adjusted,60,"Invalid freight -> 0 used","05-Jan-2026 | TAE-888 | 63 | AL Noor Pf | Aftab Aziz Kuthyala Sheikhan | 400 | Paid | 49,873 | 49,873 | 43,000 |  |  |  |  |  |  |  |  |  |  |  |  | 43,000 |  |  |  |  |  |  |  | "
adjusted,61,"Invalid freight -> 0 used","05-Jan-2026 | K-1573 | 64 | Awan Pf | Moaz Abdullah F Wasnal Kalar Kahar | 380 | Paid | 62,083 | 62,083 | 60,000 |  |  |  |  |  |  |  |  |  |  |  |  | 60,000 |  |  |  |  |  |  |  | "
adjusted,62,"Invalid freight -> 0 used","05-Jan-2026 | P-7380 | 65 | Awan Pf | Sibghatullah Kalar Kahar | 380 | Paid | 62,083 | 62,083 | 60,000 |  |  |  |  |  |  |  |  |  |  |  |  | 60,000 |  |  |  |  |  |  |  | "
adjusted,63,"Invalid freight -> 0 used","05-Jan-2026 | P-3495 | 66 | SP Chaudary Mananwala | ALLAH Hoo F Chak 71 Choki Bhagat | 400 | Paid | 27,517 | 27,517 | 24,000 |  |  |  |  |  |  |  |  |  |  |  |  | 24,000 |  |  |  |  |  |  |  | "
adjusted,64,"Invalid freight -> 0 used","05-Jan-2026 | TUE-797 | 68 | AL Noor Pf | Fayyaz F Gojra | 400 | Paid | 34,051 | 34,051 | 36,000 |  |  |  |  |  |  |  |  |  |  |  |  | 36,000 |  |  |  |  |  |  |  | "
adjusted,65,"Invalid freight -> 0 used","05-Jan-2026 | C-1386 | 69 | Rana Quaidabad Pf | Noor Pur 4KM Quaidabad | 400 | Paid | 42,995 | 42,995 | 36,500 |  |  |  |  |  |  |  |  |  |  |  |  | 36,500 |  |  |  |  |  |  |  | "
adjusted,66,"Invalid freight -> 0 used","05-Jan-2026 | XA-787 | 70 | Sohail Alpa | Unit v Salam Dhoori | 400 | Paid | 40,930 | 40,931 | 33,000 |  |  |  |  |  |  |  |  |  |  |  |  | 33,000 |  |  |  |  |  |  |  | "
adjusted,67,"Invalid freight -> 0 used","06-Jan-2026 | GTH-333 | 71 | SP Ittefaq Pf | Amanullah F Chak 34 Gojra | 400 | Paid | 40,930 | 34,051 | 36,000 |  |  |  |  |  |  |  |  |  |  |  |  | 36,000 |  |  |  |  |  |  |  | "
adjusted,68,"Invalid freight -> 0 used","06-Jan-2026 | LEI-7408 | 72 | SP Junaid Pf | Junaid F Rakh Baloch Mandi | 400 | Paid | 34,051 | 34,051 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,69,"Invalid freight -> 0 used","06-Jan-2026 | C-1465 | 74 | Awan Pf | Sibghatullah Kalar Kahar | 380 | Paid | 62,083 | 65,351 | 60,000 |  |  |  |  |  |  |  |  |  |  |  |  | 60,000 |  |  |  |  |  |  |  | "
adjusted,70,"Invalid freight -> 0 used","06-Jan-2026 | P-3501 | 75 | AL Noor Pf | Dost M Gondal Sat Sira to 5km | 400 | Paid | 34,051 | 34,051 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,71,"Invalid freight -> 0 used","06-Jan-2026 | ML-965 | 76 | AL Noor Pf | Tarar F Phalia to 5km | 400 | Paid | 49,873 | 49,873 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,72,"Invalid freight -> 0 used","06-Jan-2026 | SGI-499 | 77 | Nasyial Pf | Wadi.e.Soon 4 Stop | 200 | To Pay | 38,817 | 38,217 | 40,000 |  |  |  |  |  |  |  |  |  |  |  |  | 40,000 |  |  |  |  |  |  |  | "
adjusted,73,"Invalid freight -> 0 used","06-Jan-2026 | KBI-2061 | 78 | AL Noor Pf | Mian Gondal Dhoori to 9Km | 200 | Paid | 18,917 | 22,739 | 25,000 |  |  |  |  |  |  |  |  |  |  |  |  | 25,000 |  |  |  |  |  |  |  | "
adjusted,74,"Invalid freight -> 0 used","06-Jan-2026 | TAH-516 | 79 | SP Mubashar Pf | Roshan F Chak 15 Ajnala | 380 | Paid | 35,127 | 35,127 | 30,000 |  |  |  |  |  |  |  |  |  |  |  |  | 30,000 |  |  |  |  |  |  |  | "
adjusted,75,"Invalid freight -> 0 used","06-Jan-2026 | C-2431 | 80 | Alpa Eggs | Dhoori | 400 | Paid | 40,930 | 40,931 | 31,000 |  |  |  |  |  |  |  |  |  |  |  |  | 31,000 |  |  |  |  |  |  |  | "
adjusted,76,"Invalid freight -> 0 used","06-Jan-2026 | C-3667 | 81 | AL Noor Pf | Mian Gondal Dhoori to 9Km | 400 | Paid | 34,051 | 40,931 | 36,000 |  |  |  |  |  |  |  |  |  |  |  |  | 36,000 |  |  |  |  |  |  |  | "
adjusted,77,"Invalid freight -> 0 used","06-Jan-2026 | TAH-516 | 82 | Indus Cattle Feed | Roshan F Chak 15 Ajnala | 20 | Paid |  | 3,000 | 2,000 |  |  |  |  |  |  |  |  |  |  |  |  | 2,000 |  |  |  |  |  |  |  | "
adjusted,77,"Invalid tender -> 0 used","06-Jan-2026 | TAH-516 | 82 | Indus Cattle Feed | Roshan F Chak 15 Ajnala | 20 | Paid |  | 3,000 | 2,000 |  |  |  |  |  |  |  |  |  |  |  |  | 2,000 |  |  |  |  |  |  |  | "
adjusted,78,"Invalid freight -> 0 used","06-Jan-2026 | TAR-587 | 83 | Awan Pf | Talal F Pehl Padhrar | 300 | Paid | 54,459 | 49,013 | 51,000 |  |  |  |  |  |  |  |  |  |  |  |  | 51,000 |  |  |  |  |  |  |  | "
adjusted,79,"Invalid freight -> 0 used","06-Jan-2026 | LWC-2277 | 84 | AL Noor Pf | Zahid F Kuthyala Sheikhan | 400 | Paid | 49,873 | 49,873 | 38,000 |  |  |  |  |  |  |  |  |  |  |  |  | 38,000 |  |  |  |  |  |  |  | "
adjusted,80,"Invalid freight -> 0 used","06-Jan-2026 | P-3119 | 85 | Awan Pf | Sultan Sher Yar Kalar Kahar | 300 | Paid | 54,459 | 49,013 | 50,000 |  |  |  |  |  |  |  |  |  |  |  |  | 50,000 |  |  |  |  |  |  |  | "
adjusted,81,"Invalid freight -> 0 used","06-Jan-2026 | XB-206 | 86 | SP Ittefaq Pf | Punjab F Mangat + Gondal F Sat Sir | 200 | Paid | 28,007 | 27,707 | 31,500 |  |  |  |  |  |  |  |  |  |  |  |  | 31,500 |  |  |  |  |  |  |  | "
adjusted,82,"Invalid freight -> 0 used","06-Jan-2026 | C-2799 | 87 | Alpa Eggs | Dhoori | 400 | Paid | 40,930 | 40,931 | 31,500 |  |  |  |  |  |  |  |  |  |  |  |  | 31,500 |  |  |  |  |  |  |  | "
adjusted,83,"Invalid freight -> 0 used","06-Jan-2026 | Z-6416 | 88 | Sohail Alpa | Haveli Narain Das | 400 | Paid | 40,930 | 40,931 | 31,500 |  |  |  |  |  |  |  |  |  |  |  |  | 31,500 |  |  |  |  |  |  |  | "
adjusted,84,"Invalid freight -> 0 used","06-Jan-2026 | SGE-7284 | 89 | AL Noor Pf | Cattle F Phalia to 4KM | 400 | Paid | 49,873 | 49,873 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,85,"Invalid freight -> 0 used","06-Jan-2026 | LEI-968 | 90 | AL Noor Pf | Aftab Aziz Kuthyala Sheikhan | 400 | Paid | 49,873 | 49,873 | 41,000 |  |  |  |  |  |  |  |  |  |  |  |  | 41,000 |  |  |  |  |  |  |  | "
adjusted,86,"Invalid freight -> 0 used","07-Jan-2026 | LXK-8121 | 92 | Sohail Alpa | Tarar F Purana Bhalwal Chowk Nabi | 400 | Paid | 28,377 | 28,377 | 30,000 |  |  |  |  |  |  |  |  |  |  |  |  | 30,000 |  |  |  |  |  |  |  | "
adjusted,87,"Invalid freight -> 0 used","07-Jan-2026 | TTC-937 | 93 | Pakistan Pf | Pakistan F Mangat | 400 | Paid | 34,051 | 49,878 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,88,"Invalid freight -> 0 used","07-Jan-2026 | LES-7514 | 94 | AL Noor Pf | Haroon F Sat Sira Marala Rd | 400 | Paid | 34,051 | 34,051 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,89,"Invalid freight -> 0 used","07-Jan-2026 | LES-7550 | 95 | Sohail Alpa | Rao F Chak 71 Choki Bhagat | 200 | Paid | 15,287 | 15,287 | 32,000 |  |  |  |  |  |  |  |  |  |  |  |  | 32,000 |  |  |  |  |  |  |  | "
adjusted,90,"Invalid freight -> 0 used","07-Jan-2026 | LES-7550 | 96 | Sohail Alpa |  | 200 | Paid | 20,542 | 15,765 | - |  |  |  |  |  |  |  |  |  |  |  |  | - |  |  |  |  |  |  |  | "
adjusted,91,"Invalid freight -> 0 used","07-Jan-2026 | TKJ-679 | 97 | AL Noor Pf | AL Madina F Kuthyala Sheikhan | 400 | Paid | 49,873 | 49,873 | 41,000 |  |  |  |  |  |  |  |  |  |  |  |  | 41,000 |  |  |  |  |  |  |  | "
adjusted,92,"Invalid freight -> 0 used","07-Jan-2026 | TKR-217 | 98 | SP Ittefaq Pf | Dost M Gondal Sat Sira to 5km | 400 | Paid | 34,051 | 34,051 | 42,000 |  |  |  |  |  |  |  |  |  |  |  |  | 42,000 |  |  |  |  |  |  |  | "
adjusted,93,"Invalid freight -> 0 used","07-Jan-2026 | JW-1945 | 202 | AL Noor Pf | Badshah Pur Malakwal | 400 | Paid | 34,051 | 34,051 | 40,000 |  |  |  |  |  |  |  |  |  |  |  |  | 40,000 |  |  |  |  |  |  |  | "
adjusted,94,"Invalid freight -> 0 used","07-Jan-2026 | P-5686 | 203 | AL Noor Pf | Hashir F Phalia to 8km | 200 | Paid | 27,707 | 27,707 | 44,000 |  |  |  |  |  |  |  |  |  |  |  |  | 44,000 |  |  |  |  |  |  |  | "
adjusted,95,"Invalid freight -> 0 used","07-Jan-2026 | P-5686 | 204 | AL Noor Pf | Javed F Bikhi Shareef | 200 | Paid | 18,917 | 18,917 | - |  |  |  |  |  |  |  |  |  |  |  |  | - |  |  |  |  |  |  |  | "
